Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_ILS,Spend_NZD,Spend_TWD,Spend_AUD
AR100125170957549568,Azione,,"EU, IT",EU-Parliament,288,13300,11250,983000,22000,84900,298000,84000,4012500,50300,54675,116250,10150,44750,19600,384000,18300
AR100201587015680000,ALEX FOR AZ,Registered in Arizona 100259,US,US-Federal,9,4700,4050,349000,7900,30400,107000,30000,1417500,18000,19575,42000,3650,16000,7000,138000,6600
AR100207290732249088,FRIENDS OF SUZY GLOWIAK,EIN ID 46-3931666,US,US-Federal,1,100,100,9000,200,800,3000,1000,37500,500,525,750,100,500,200,3000,150
AR100252851745325056,CITIZENS FOR JD WOOTEN,EIN ID 89-3619917,US,US-Federal,2,5000,4300,373500,8450,32700,118000,32000,1582500,19900,21000,45000,3900,17250,7600,144000,7200
AR100293190078169088,DYLAN BILLINGS FOR SENATE,FEC ID C00714477,US,US-Federal,1,100,50,3750,100,300,1000,500,15000,200,225,750,50,250,0,3000,0
AR10057920054034432,ARCHERD FOR CONGRESS,FEC ID C00732347,US,US-Federal,3,1400,1250,98000,2450,9300,31000,9500,420000,5300,6000,13500,1050,4750,2200,42000,2100
AR100605107783073792,PAGE PAC,Registered in Missouri C190939,US,US-Federal,2,5600,4800,421750,9350,35700,125000,35500,1650000,21100,23100,49500,4300,19250,8400,165000,7800
AR100609299671154688,"PS:Digital, s.r.o.",,"AT, CZ, EU, SK",EU-Parliament,55,3300,3050,237250,5950,22700,77000,22500,1027500,13100,14625,32250,2550,11250,5200,99000,4950
AR100745295515615232,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,FEC ID C00513176,US,US-Federal,44,79700,68350,5919750,133650,516700,1845000,508500,24562500,309900,332175,708750,61850,271250,120600,2307000,112950
AR100838960162406400,SECURING LOUISIANAS FUTURE,EIN ID 83-2750304,US,US-Federal,142,152100,135200,10723500,264450,1001100,3474000,1009000,43725000,582400,639600,1428000,120950,543750,229000,4722000,218100
