Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_ILS,Spend_NZD,Spend_TWD,Spend_AUD
AT,,,1316200,1158300,93333750,2290250,8700300,30115000,8740000,374677500,5028000,5567625,12201750,1000350,4712000,1961200,38670000,1816350
AU,AU-ACT,,0,0,1500,25,100,0,0,7500,100,75,0,0,0,0,0,0
AU,AU-NSW,,1400,1250,99000,2425,9200,32000,9500,397500,5300,5925,12750,1050,5000,2000,42000,1950
AU,AU-NT,,0,0,500,25,100,0,0,0,0,0,0,0,0,0,0,0
AU,AU-QLD,,1000,900,71750,1750,6700,23000,6500,285000,3900,4275,9750,750,3500,1600,30000,1350
AU,AU-SA,,100,100,9500,225,900,3000,1000,37500,500,525,1500,100,500,200,3000,150
AU,AU-TAS,,100,50,5000,125,500,2000,500,22500,300,300,750,50,250,200,3000,150
AU,AU-VIC,,700,600,50000,1225,4700,16000,4500,202500,2700,3000,6750,550,2500,1000,21000,900
AU,AU-WA,,8900,7850,631250,15500,58900,204000,59000,2535000,34000,37650,82500,6750,32000,13200,261000,12300
BE,,,481800,424050,34167750,838425,3185000,11025000,3199500,137160000,1840700,2038200,4467000,366200,1725000,718000,14157000,664950
BG,,,15900,14050,1131000,27750,105400,365000,106000,4537500,60900,67500,147750,12100,57000,23800,468000,22050
CY,,,7900,6950,559500,13725,52200,181000,52500,2250000,30100,33375,73500,6000,28250,11800,231000,10950
CZ,,,230700,203050,16362250,401500,1525200,5280000,1532000,65685000,881500,976050,2139000,175350,826000,343800,6780000,318450
DE,,,1379400,1213900,97814250,2400175,9117900,31561000,9159500,392662500,5269400,5834925,12787500,1048350,4938250,2055400,40527000,1903650
DK,,,786500,692150,55772000,1368550,5198900,17995000,5222500,223890000,3004500,3327000,7290750,597750,2815750,1172000,23109000,1085400
EE,,,24100,21200,1708500,41925,159300,551000,160000,6855000,92000,101925,223500,18300,86250,36000,708000,33300
ES,,,1267200,1115150,89856250,2204900,8376100,28993000,8414000,360720000,4840700,5360175,11746500,963050,4536500,1888200,37230000,1748700
FI,,,252900,222550,17934500,440075,1671800,5787000,1679500,71992500,966200,1069875,2344500,192200,905500,376800,7431000,349050
FR,,,39100,34400,2771750,68025,258400,894000,259500,11130000,149300,165375,362250,29700,140000,58200,1149000,54000
GB,,,1955300,1720700,138652500,3402275,12924700,44738000,12983500,556605000,7469400,8271075,18126000,1486050,7000000,2913400,57447000,2698350
GR,,,1194300,1051000,84689250,2078125,7894500,27326000,7930500,339975000,4562300,5052000,11071500,907700,4275750,1779600,35088000,1648200
HR,,,277500,244150,19675000,482800,1834000,6348000,1842500,78982500,1059900,1173675,2571750,210850,993250,413400,8151000,382950
HU,,,139800,123050,9913500,243250,924100,3199000,928500,39795000,534000,591375,1296000,106250,500500,208400,4107000,192900
IE,,,95200,83800,6750500,165650,629300,2178000,632000,27097500,363700,402675,882750,72350,340750,141800,2796000,131400
IL,,,291300,256300,20653500,506800,1925300,6664000,1934000,82912500,1112600,1232025,2700000,221350,1042750,434000,8556000,402000
IN,IN-AN,,5700,5000,402500,9875,37500,130000,37500,1612500,21700,24000,52500,4300,20250,8400,168000,7800
IN,IN-AP,,738700,650050,52381500,1285350,4882800,16902000,4905000,210277500,2821900,3124725,6847500,561400,2644500,1100600,21702000,1019400
IN,IN-AR,,5700,5000,401000,9850,37400,129000,37500,1612500,21600,23925,52500,4300,20250,8400,165000,7800
IN,IN-AS,,22500,19750,1592750,39075,148500,514000,149000,6397500,85800,95025,208500,17050,80500,33400,660000,31050
IN,IN-BR,,398300,350450,28240500,692975,2632500,9112000,2644500,113370000,1521300,1684650,3691500,302700,1425750,593400,11700000,549600
IN,IN-CH,,107400,94500,7615500,186875,709900,2457000,713000,30570000,410300,454275,995250,81600,384500,160000,3156000,148200
IN,IN-CT,,17000,15000,1208500,29650,112700,390000,113000,4852500,65100,72075,158250,12950,61000,25400,501000,23550
IN,IN-DD,,5800,5100,410750,10075,38300,133000,38500,1650000,22100,24525,54000,4400,20750,8600,171000,7950
IN,IN-DL,,906300,797550,64268000,1577025,5990900,20737000,6018000,258000000,3462200,3833775,8401500,688800,3244750,1350400,26628000,1250700
IN,IN-DN,,5800,5100,412250,10125,38400,133000,38500,1657500,22200,24600,54000,4400,20750,8600,171000,7950
IN,IN-GA,,6700,5900,476250,11700,44400,154000,44500,1912500,25700,28425,62250,5100,24000,10000,198000,9300
IN,IN-GJ,,111600,98200,7915000,194225,737800,2554000,741000,31770000,426400,472125,1035000,84850,399500,166400,3279000,154050
IN,IN-HP,,44100,38750,3124250,76675,291200,1008000,292500,12540000,168300,186375,408750,33500,157750,65600,1293000,60750
IN,IN-HR,,148600,130750,10534500,258500,982000,3399000,986500,42292500,567500,628425,1377000,112900,531750,221400,4365000,205050
IN,IN-JH,,29500,25950,2090500,51300,194900,675000,196000,8392500,112600,124725,273000,22400,105500,44000,867000,40650
IN,IN-JK,,16800,14800,1191750,29250,111100,385000,111500,4785000,64200,71100,156000,12750,60250,25000,495000,23250
IN,IN-KA,,71400,62850,5063750,124250,472000,1634000,474000,20325000,272800,302100,662250,54250,255750,106400,2097000,98550
IN,IN-KL,,37800,33250,2679500,65750,249800,865000,251000,10755000,144300,159825,350250,28700,135250,56400,1110000,52200
IN,IN-LD,,5600,4950,397250,9750,37000,128000,37000,1597500,21400,23700,51750,4250,20000,8400,165000,7800
IN,IN-MH,,435200,382950,30859000,757225,2876600,9957000,2889500,123877500,1662400,1840800,4034250,330750,1558000,648400,12786000,600600
IN,IN-ML,,5900,5200,420250,10300,39200,136000,39500,1687500,22600,25050,54750,4500,21250,8800,174000,8250
IN,IN-MN,,7500,6550,529250,12975,49300,171000,49500,2122500,28500,31575,69000,5650,26750,11200,219000,10350
IN,IN-MP,,205600,180950,14582000,357825,1359300,4705000,1365500,58537500,785600,869850,1906500,156300,736250,306400,6042000,283800
IN,IN-MZ,,5800,5100,409250,10050,38200,132000,38500,1642500,22000,24450,53250,4400,20750,8600,171000,7950
IN,IN-NL,,5700,5050,405500,9950,37800,131000,38000,1627500,21900,24225,53250,4350,20500,8600,168000,7950
IN,IN-OR,,28400,25000,2016500,49475,188000,651000,189000,8092500,108600,120300,263250,21600,101750,42400,834000,39300
IN,IN-PB,,101900,89700,7229000,177375,673900,2333000,677000,29017500,389400,431250,945000,77500,365000,151800,2994000,140700
IN,IN-PY,,6700,5900,477250,11700,44500,154000,44500,1912500,25700,28500,62250,5100,24000,10000,198000,9300
IN,IN-RJ,,207600,182750,14724250,361300,1372500,4751000,1379000,59107500,793200,878325,1925250,157800,743500,309400,6102000,286500
IN,IN-SK,,5700,5000,402000,9875,37500,130000,37500,1612500,21700,24000,52500,4300,20250,8400,168000,7800
IN,IN-TG,,300700,264600,21321250,523175,1987500,6880000,1996500,85590000,1148600,1271850,2787000,228500,1076500,448000,8835000,414900
IN,IN-TN,,1011400,890050,71718250,1759825,6685300,23141000,6715500,287902500,3863500,4278225,9375750,768650,3620750,1507000,29715000,1395750
IN,IN-TR,,6800,5950,480250,11775,44800,155000,45000,1927500,25900,28650,63000,5150,24250,10000,198000,9300
IN,IN-UP,,316800,278800,22465500,551250,2094200,7249000,2103500,90187500,1210200,1340175,2937000,240800,1134250,472000,9309000,437250
IN,IN-UT,,12900,11350,914000,22425,85200,295000,85500,3667500,49200,54525,119250,9800,46250,19200,378000,17850
IN,IN-WB,,264100,232400,18725500,459500,1745500,6042000,1753500,75172500,1008800,1117050,2448000,200700,945500,393400,7758000,364350
IT,,,616800,542750,43736000,1073200,4076900,14112000,4095500,175575000,2356100,2608950,5717250,468750,2208000,919000,18120000,851100
LT,,,134200,118050,9514000,233450,886900,3070000,891000,38190000,512500,567525,1243500,101950,480250,200000,3942000,185100
LU,,,1600,1450,115500,2825,10800,37000,11000,465000,6200,6900,15000,1250,5750,2400,48000,2250
LV,,,17000,14950,1202750,29525,112100,388000,112500,4830000,64800,71775,157500,12900,60750,25200,498000,23400
MT,,,600,550,42500,1050,4000,14000,4000,172500,2300,2550,5250,450,2250,800,18000,900
NL,,,346200,304650,24549500,602400,2288400,7921000,2299000,98550000,1322500,1464450,3209250,263100,1239500,515800,10173000,477750
NZ,,,563400,495800,39952500,980350,3724200,12891000,3741000,160387500,2152300,2383275,5223000,428200,2017000,839600,16554000,777600
PL,,,1039300,914550,73695000,1808350,6869600,23779000,6901000,295837500,3970000,4396125,9633750,789850,3720500,1548600,30534000,1434150
PT,,,1500,1350,107250,2625,10000,35000,10000,427500,5800,6375,14250,1150,5500,2200,45000,2100
RO,,,3109000,2735950,220461500,5409725,20550700,71135000,20644000,885015000,11876500,13151175,28821000,2362850,11130250,4632400,91344000,4290450
SE,,,152000,133800,10779750,264525,1004800,3478000,1009500,43275000,580700,643050,1409250,115550,544250,226600,4467000,209850
SI,,,8000,7000,564500,13850,52600,182000,53000,2265000,30400,33675,73500,6050,28500,11800,234000,10950
SK,,,1317500,1159400,93425500,2292475,8708800,30145000,8748500,375045000,5032900,5573100,12213750,1001300,4716750,1963200,38709000,1818150
TW,,,300,250,20250,500,1900,7000,2000,82500,1100,1200,3000,200,1000,400,9000,450
US,US-AK,AK-AT LARGE,1944500,1711200,137887750,3383500,12853500,44491000,12912000,553537500,7428200,8225400,18026250,1477850,6961500,2897400,57132000,2683500
US,US-AL,AL-1,759700,668500,53868750,1321825,5021500,17381000,5044500,216247500,2902000,3213450,7042500,577350,2719750,1132000,22320000,1048350
US,US-AL,AL-2,680800,599100,48275000,1184575,4500000,15577000,4520500,193792500,2600600,2879775,6311250,517400,2437250,1014400,20001000,939450
US,US-AL,AL-3,849600,747650,60246250,1478325,5616000,19439000,5641500,241852500,3245500,3593850,7875750,645700,3041750,1266000,24963000,1172400
US,US-AL,AL-4,847800,746000,60114250,1475100,5603700,19397000,5629000,241320000,3238400,3585975,7858500,644300,3035000,1263200,24906000,1169850
US,US-AL,AL-5,911600,802200,64641250,1586175,6025600,20857000,6053000,259492500,3482300,3856050,8450250,692800,3263500,1358200,26784000,1258050
US,US-AL,AL-6,1184600,1042450,83998500,2061175,7830100,27103000,7865500,337200000,4525100,5010750,10980750,900300,4240750,1765000,34803000,1634700
US,US-AL,AL-7,611900,538450,43387000,1064625,4044400,13999000,4062500,174172500,2337300,2588175,5672250,465000,2190500,911600,17976000,844350
US,US-AR,AR-1,544500,479200,38612500,947475,3599300,12459000,3615500,155002500,2080100,2303325,5047500,413850,1949500,811400,15999000,751500
US,US-AR,AR-2,1031200,907450,73121500,1794275,6816200,23594000,6847000,293535000,3939100,4361925,9558750,783700,3691750,1536400,30297000,1423050
US,US-AR,AR-3,818500,720250,58038250,1424150,5410100,18727000,5434500,232987500,3126600,3462150,7587000,622050,2930250,1219600,24048000,1129500
US,US-AR,AR-4,532000,468200,37727250,925750,3516800,12173000,3533000,151455000,2032400,2250525,4932000,404350,1904750,792800,15630000,734250
US,US-AZ,AZ-1,4192900,3689800,297321750,7295725,27715400,95935000,27841000,1193565000,16017000,17736150,38868750,3186650,15010750,6247400,123189000,5786250
US,US-AZ,AZ-2,2627500,2312200,186314750,4571825,17367700,60117000,17446500,747937500,10037000,11114250,24357000,1996900,9406500,3915000,77196000,3625950
US,US-AZ,AZ-3,3209900,2824700,227612250,5585175,21217300,73442000,21313500,913725000,12261700,13577775,29755500,2439500,11491250,4782800,94305000,4429650
US,US-AZ,AZ-4,4092000,3600950,290162750,7120050,27048000,93625000,27171000,1164825000,15631400,17309100,37932750,3109900,14649250,6097000,120222000,5646900
US,US-AZ,AZ-5,3074400,2705500,218008500,5349525,20322000,70343000,20414500,875167500,11744400,13004850,28500000,2336550,11006500,4581000,90327000,4242750
US,US-AZ,AZ-6,4927500,4336200,349408750,8573850,32570700,112741000,32718500,1402657500,18823000,20843325,45678000,3744900,17640500,7342000,144771000,6799950
US,US-AZ,AZ-7,5639400,4962650,399888750,9812525,37276300,129029000,37445500,1605307500,21542400,23854575,52277250,4285950,20189000,8402600,165684000,7782300
US,US-AZ,AZ-8,3657200,3218350,259335000,6363600,24174400,83678000,24284000,1041067500,13970700,15470100,33903000,2779500,13093000,5449200,107451000,5047050
US,US-AZ,AZ-9,3346500,2944950,237302750,5822975,22120600,76569000,22221000,952627500,12783800,14155875,31022250,2543350,11980500,4986400,98322000,4618200
US,US-CA,CA-1,897500,789850,63644250,1561725,5932700,20536000,5959500,255495000,3428600,3796575,8320500,682150,3213250,1337400,26370000,1238550
US,US-CA,CA-10,1575900,1386800,111749750,2742125,10416900,36057000,10464000,448605000,6020100,6666225,14609250,1197700,5641750,2348200,46302000,2174850
US,US-CA,CA-11,1399900,1231950,99268250,2435850,9253500,32030000,9295500,398497500,5347700,5921625,12977250,1063950,5011750,2085800,41130000,1931850
US,US-CA,CA-12,2602900,2290550,184571500,4529050,17205100,59554000,17283000,740940000,9943100,11010225,24129000,1978200,9318250,3878400,76473000,3592050
US,US-CA,CA-13,1737100,1528650,123177000,3022525,11482200,39745000,11534500,494482500,6635700,7347900,16102500,1320200,6218750,2588200,51036000,2397150
US,US-CA,CA-14,1361600,1198150,96548000,2369100,8999900,31152000,9040500,387577500,5201200,5759400,12621750,1034800,4874500,2028800,40002000,1878900
